May 12 2021	588.19					
May 11 2021	672.33					
May 10 2021	631.35					
May 09 2021	662.23					
May 08 2021	646.10					
May 07 2021	624.56					
May 06 2021	633.28					
May 05 2021	651.66					
May 04 2021	611.20					
May 03 2021	675.68					
May 02 2021	622.10					
May 01 2021	619.35					
Apr 30 2021	624.08					
Apr 29 2021	599.71					
Apr 28 2021	562.63					
Apr 27 2021	568.47					
Apr 26 2021	534.58					
Apr 25 2021	505.08					
Apr 24 2021	496.42					
Apr 23 2021	526.57					
Apr 22 2021	506.01					
Apr 21 2021	546.02					
Apr 20 2021	587.03					
Apr 19 2021	505.09					
Apr 18 2021	481.03					
Apr 17 2021	520.42					
Apr 16 2021	510.22					
Apr 15 2021	542.63					
Apr 14 2021	549.59					
Apr 13 2021	549.59					
Apr 12 2021	598.72					
Apr 11 2021	525.39					
Apr 10 2021	472.56					
Apr 09 2021	453.18					
Apr 08 2021	418.04					
Apr 07 2021	374.66					
Apr 06 2021	403.59					
Apr 05 2021	367.77					
Apr 04 2021	351.62					
Apr 03 2021	323.13					
Apr 02 2021	339.01					
Apr 01 2021	335.21					
Mar 31 2021	302.06					
Mar 30 2021	311.43					
Mar 29 2021	275.21					
Mar 28 2021	269.19					
Mar 27 2021	269.10					
Mar 26 2021	255.10					
Mar 25 2021	234.89					
Mar 24 2021	249.85					
Mar 23 2021	255.69					
Mar 22 2021	255.90					
Mar 21 2021	264.89					
Mar 20 2021	264.74					
Mar 19 2021	264.06					
Mar 18 2021	261.70					
Mar 17 2021	269.85					
Mar 16 2021	258.10					
Mar 15 2021	254.66					
Mar 14 2021	264.64					
Mar 13 2021	276.10					
Mar 12 2021	263.69					
Mar 11 2021	289.79					
Mar 10 2021	279.36					
Mar 09 2021	293.46					
Mar 08 2021	240.32					
Mar 07 2021	240.18					
Mar 06 2021	226.67					
Mar 05 2021	226.37					
Mar 04 2021	229.95					
Mar 03 2021	241.09					
Mar 02 2021	239.52					
Mar 01 2021	254.63					
Feb 28 2021	209.57					
Feb 27 2021	225.25					
Feb 26 2021	221.68					
Feb 25 2021	233.89					
Feb 24 2021	254.36					
Feb 23 2021	230.99					
Feb 22 2021	267.51					
Feb 21 2021	293.92					
Feb 20 2021	255.95					
Feb 19 2021	332.62					
Feb 18 2021	195.93					
Feb 17 2021	164.67					
Feb 16 2021	130.06					
Feb 15 2021	129.57					
Feb 14 2021	136.43					
Feb 13 2021	133.45					
Feb 12 2021	136.95					
Feb 11 2021	124.43					
Feb 10 2021	129.74					
Feb 09 2021	107.90					
Feb 08 2021	79.83					
Feb 07 2021	68.59					
Feb 06 2021	72.73					
Feb 05 2021	67.85					
Feb 04 2021	55.93					
Feb 03 2021	52.24					
Feb 02 2021	51.06					
Feb 01 2021	51.61					
Jan 31 2021	44.28					
Jan 30 2021	44.77					
Jan 29 2021	42.85					
Jan 28 2021	42.53					
Jan 27 2021	40.99					
Jan 26 2021	41.69					
Jan 25 2021	41.62					
Jan 24 2021	41.88					
Jan 23 2021	40.82					
Jan 22 2021	40.86					
Jan 21 2021	38.65					
Jan 20 2021	42.61					
Jan 19 2021	42.79					
Jan 18 2021	45.35					
Jan 17 2021	45.68					
Jan 16 2021	43.17					
Jan 15 2021	40.92					
Jan 14 2021	41.79					
Jan 13 2021	40.14					
Jan 12 2021	38.11					
Jan 11 2021	38.37					
Jan 10 2021	42.45					
Jan 09 2021	43.93					
Jan 08 2021	42.40					
Jan 07 2021	43.45					
Jan 06 2021	42.17					
Jan 05 2021	41.73					
Jan 04 2021	40.93					
Jan 03 2021	41.15					
Jan 02 2021	38.24					
Jan 01 2021	37.91					
Dec 31 2020	37.38					
Dec 30 2020	38.14					
Dec 29 2020	38.95					
